"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038776",82515.1642104481,-1.41258319202776,0.00601091227707867,-68.6390306511466,0,0
"ENSMUSG00000050777",990.177284884288,-0.925495514115074,0.0506340751138721,0,1,1
"ENSMUSG00000070031",40.4702704610732,-0.266016212967967,0.233386672768363,0,1,1
"ENSMUSG00000026516",4676.85700974613,0.111375976537411,0.021311209352037,0,1,1
"ENSMUSG00000062169",4709.28736697168,-0.334743111852398,0.0217475593452418,0,1,1
"ENSMUSG00000026103",8334.52096901193,0.1563526817128,0.015946766961767,0,1,1
"ENSMUSG00000002881",5032.44192597047,0.474909134903931,0.0205017132834238,0,1,1
"ENSMUSG00000100007",362.04554871543,1.30784848466714,0.0806162007882028,3.81869254141518,0.00013416084914738,0.000967687422103781
"ENSMUSG00000058665",498.842445986786,-0.269404023581699,0.0664917971801704,0,1,1
"ENSMUSG00000043015",577.505860424989,0.204704012447787,0.0605226350306042,0,1,1
"ENSMUSG00000038733",15265.5971909673,-0.175168430064156,0.0119460090092902,0,1,1
"ENSMUSG00000003721",3586.19958293987,0.289562334330517,0.0242645762100776,0,1,1
"ENSMUSG00000081214",2757.36193360159,0.100959892466842,0.0277625967364802,0,1,1
"ENSMUSG00000103260",785.78168341626,1.2551747345207,0.0544114593642693,4.68972414087218,2.73573615506489e-06,2.23747360122163e-05
"ENSMUSG00000041439",270.942190187909,-0.377396407910207,0.090979531351791,0,1,1
"ENSMUSG00000026102",2391.66479191308,-0.718221586877962,0.0317071883990331,0,1,1
"ENSMUSG00000041426",713.195283446237,-0.122084178057542,0.0550958292920916,0,1,1
"ENSMUSG00000026339",2947.29471042204,-0.181089826261613,0.0271956286386247,0,1,1
"ENSMUSG00000047369",45.0238808191352,1.55329713309604,0.235629462593541,2.34816617160679,0.0188661023761815,0.11328150845262
"ENSMUSG00000001674",1661.6502595183,0.0324683100059263,0.0358427008288724,0,1,1
"ENSMUSG00000100913",157.204275989591,0.396644233129472,0.115893282184985,0,1,1
"ENSMUSG00000026222",44.1048683496922,-0.316642291948439,0.224400795993491,0,1,1
"ENSMUSG00000100405",112.18708963204,3.13825958689822,0.205987556711986,10.3805279359081,3.04088896460109e-25,5.35536049430812e-24
"ENSMUSG00000004880",4430.40787666482,1.18078729948584,0.0227441225099538,7.94874805157765,1.88405781352486e-15,2.40137772896515e-14
"ENSMUSG00000036707",6925.94912182528,0.0943110335809398,0.0175210230105617,0,1,1
"ENSMUSG00000026223",9260.60063260298,-1.21612228849846,0.0173226154387286,-12.4763081685267,1.0054129645244e-35,2.25626115078976e-34
"ENSMUSG00000025939",1562.20498849101,-0.0369154651665189,0.0370700455930009,0,1,1
"ENSMUSG00000026094",2737.22283234203,0.204718678966222,0.0278000425534942,0,1,1
"ENSMUSG00000026341",7010.19664399627,0.46405322224012,0.0173679015476648,0,1,1
